,Datetime,Text
0,2021-12-31 18:37:06+00:00,"So i finally decided to buy new clothes for Durga Puja... Then someone just wished HAPPY NEW YEAR😐.. 
HAPPY NEW YEAR TO ALL❤"
1,2021-12-31 18:24:42+00:00,@Blackdrug_ Acha we do it yearly Durga Puja k time
2,2021-12-31 13:13:00+00:00,"2021. A year of Hindu genocide. 
We respectfully remember all the Hindus who were k!lled in the jihadi attack on Durga Puja.
Om shanti. 🙏 https://t.co/THno0EMNcO"
3,2021-12-31 13:06:51+00:00,"Thank you so much @idevadhikari da❤Durga puja er pore ekta like pelam 😊
#haldia te audience er reaction Just fatafati chilo ❤🔥Ekta #Tonic er Standy lagbe City centre @svf_cinemas a🙏 https://t.co/RneGSKDaQk"
4,2021-12-31 11:08:40+00:00,"@rahulpandita This is not meant to mock you or anyone else. People have the right to criticise bad ideas. Maybe this group is not articulate enough to do so. But here we have people who celebrate Raavan on Ram Navami, Mahisasur on Durga Puja compared to that this is quite benign"
5,2021-12-31 10:36:07+00:00,"1993 – 94

On Oct. 16th, 1993, Hindus in Bangladesh decided to curtail Durga Puja, the main Hindu festival celebrations which were scheduled to start on October 21st, 1993 in view of the “Atrocities” committed against Hindus in December 1992."
6,2021-12-31 07:37:25+00:00,The clamor of extremely delighted folks filled the streets of #TheCityOfJoy #ThanksUNESCO2021 #DurgaPuja https://t.co/PHNGZrSUG7
7,2021-12-31 07:31:54+00:00,"@heywassupmrohit @suparnomoitra It is not possible, water has gone up on head because Kolkata has stopped reading, Everyone belongs to Kolkata live for their materialistic desire , Even Durga Puja had not remain pious &amp; auspicious to US rather it has become an Economic Impetus to our life. “আরাধনা” আর নেই."
8,2021-12-31 07:09:46+00:00,From Durga Puja in Kolkata to the unique Hornbill Festival in Nagaland.. the sports &amp; cultural heritage of Odisha &amp; Chhattisgarh to the rich diversity of Assam &amp; Meghalaya.. 2021 has been a year of exploration &amp; engagement for @AusCGKolkata. Excited to grow 🇦🇺🇮🇳 links in 2022! https://t.co/NwjqFJRDKN
9,2021-12-31 05:16:56+00:00,"Ohoo..Durga Puja ka samay bhool gaye ?
@Aban__Ind https://t.co/xvNd408ZJT"
10,2021-12-31 05:15:33+00:00,"Durga Puja isn't just a festival. It's an emotion. This year on 22nd Dec #TheCityOfJoy celebrated Durga Puja once again as UNESCO added our Puja to the list of ""Intangible Cultural Heritage of Humanity"".
#ThanksUNESCO2021 for letting us celebrate Saradiya once again! https://t.co/plAxImovjp"
11,2021-12-31 04:25:59+00:00,@bhaswati10 Not the only reason. But of course has a contribution. Festivity cannot be blamed alone. Then durgapuja would have caused third wave already. Reluctancy to use mask is the major reason.
12,2021-12-31 03:15:46+00:00,"@manaw_gupta @ani_digital @ANI @news24tvchannel Its not Saudi Arab my friend, Saudi is an Islamic Nation, and as far as I know India is not Hindu Rastra or Islamic Nation. You cannot even celebrate durga puja in pulic in saudi as well. So stop this communal phobia at once, and let people do their religious activity in peace."
