,Datetime,Text
0,2021-05-18 23:59:44+00:00,"Favorite Rep: Matt Gaetz 

Favorite Senator: Marsha Blackburn 

Favorite Governor:Ron DeSantis 

Favorite cabinet member: Larry Kudlow 

Favorite Justice: Clearance Thomas 

Favorite President: President Donald J. Trump https://t.co/26Jcj3PEX5"
1,2021-05-18 23:59:29+00:00,@timburchett @POTUS Trump was a moral decline.
2,2021-05-18 23:59:28+00:00,"Trump is leaving everything up to the audits but the United States Military are not.

@MichaelFlynnTeam"
3,2021-05-18 23:59:14+00:00,@tedcruz Tax Dodgers like the Trumps will not be happy. Sad!
4,2021-05-18 23:58:26+00:00,"@JournalStarNews @LJSOpinion ""...Trump’s effort to steal the 2020 presidential election fell short. Now Republicans across the country are promoting changes to laws and personnel that could allow him — or someone like him — to succeed in 2024.""

@hiattf @washingtonpost

https://t.co/leUDMSi8dA"
5,2021-05-18 23:57:34+00:00,"Also, Trump was banned from Twitter for less. Much less"
6,2021-05-18 23:56:45+00:00,@Last1OfTheBest @ChanceBGardener That was the low point of Trump’s post-presidency. Party allegiances has grown since — as second vote demonstrates.
7,2021-05-18 23:56:17+00:00,"We must bring Pr. Trump back, next week, ideal! Dream of the investigation into the legality  of election law and order, and placing him back in the Oval Office. Unlikely I know but many a human being would be better off! Well at least vote mid- term for real conservatives. https://t.co/EupiYX2LQd"
8,2021-05-18 23:55:04+00:00,We need him GONEE‼️‼️‼️  lets come togetha like we did wit Trump‼️‼️ https://t.co/kZJIZHiIGS
9,2021-05-18 23:55:00+00:00,"@IMTHEMIDDLESIS1 @MarianneMourik @wildi_mariann @KBarroncini @queers4pete1 @SteveSchmidtSES Totally.  That 'this was filmed during the buildup to the call to riot from Trump' .... that's justification, or mitigation of ... what?  How?
PS: is #bluGillFoil really that #skanky??  @kimguilfoyle
[Am I allowed to use that word now?  For her?  Really checking crowd count ...]"
10,2021-05-18 23:54:58+00:00,@CLady62 Yeah I’m now thinking the same thing….Russian’s gon help his ass out like they did w/ Trump
11,2021-05-18 23:54:49+00:00,@donwinslow Since trump came into power. The FBI has had to work overtime and will for years and years
12,2021-05-18 23:54:33+00:00,@LucasCaylor Yeah... That may trump my version then. 😅
13,2021-05-18 23:52:54+00:00,@BuddShenkin And upping the standards perhaps ? Aren't  these the same guys who stayed at Trump's Irish Golf Club so Trump would make his $$$ ?
14,2021-05-18 23:52:34+00:00,"@TheBigDS3 @CaslerNoel @SenRickScott This guy! Busted for laundering money for Russians on his failed casinoS, his failed gambling boat, trump pays Record Fines to  banking regulators 2× $11mil. Then trump u, $25mil. The charity rip off 
+$2mil. All the sealed file cases where trump pays fines like parking tickets!"
15,2021-05-18 23:52:15+00:00,@LangmanVince You admire trump and he's an UnAmerican criminal. Birds of a feather so you must be one too
16,2021-05-18 23:51:53+00:00,Lol seriously doubt Trump knows how to command an automobile. https://t.co/Ujv3VIoMAa
17,2021-05-18 23:50:52+00:00,Andrew Giuliani looks like the Etsy version of Eric Trump
18,2021-05-18 23:50:49+00:00,"@johnpcollinsjr2 @RMFifthCircuit @ZoeTillman Trump filled empty seats, he didnt create new seats to fill.
Differences between a communist like Joe 'Executive Order' Biden and a Patriot like Donald Trump"
19,2021-05-18 23:50:40+00:00,He hates both political parties but said he does admire Trump... Now they share something in common! https://t.co/3fBjbvXZKD
20,2021-05-18 23:48:58+00:00,BECAUSE HE’S COMPLICIT AND IS LYING ABOUT HIS PHONE CALL WITH TRUMP DUH. https://t.co/uPLCZwMrBt
21,2021-05-18 23:48:03+00:00,@CNN Done more than Trump did in 4 years.
22,2021-05-18 23:47:52+00:00,BRO WE GOTTA GET THIS RACIST BITCH ANDREW JACKSON OFF THE $20 BILL LIKE WTF. MFER WAS DONALD TRUMP BEFORE DONALD TRUMP
23,2021-05-18 23:47:37+00:00,That's because the right/Republicans and Trump are guilty of inciting an attack on America and our democracy.  They're complicit ! #LockThemUp https://t.co/oY0ufAuzvo
24,2021-05-18 23:47:01+00:00,Why is a far right wing conservative like Stephen Miller praising Democrat #andrewyang ? Is it to derail Yang's Mayoral  campaign?  Sounds Machiavellian enough for Miller who devised the Trump immigration family separation and Muslim ban. Thoughts anyone?
25,2021-05-18 23:46:56+00:00,@TweetOfMoses_ Trump. He couldn't find a Bible
26,2021-05-18 23:46:43+00:00,@TeaRoomBetty Off this planet 🤣😂! I am in Trump State!
27,2021-05-18 23:46:21+00:00,SO SAD TRUMP HAS LEFT HIS STENCH ON SO MANY REPUBs OR MAYBE HE JUST GAVE THEM THE NOTION 2 BE WHAT THEY TRULY R. CURRENT GOP IS THE MOST DISGUSTING ADMIN IN GOP HISTORY.  THEYRE TURNING OUR COUNTRY ON A DOWARD SPIRAL. SO MANY R SHOWING THEY R NOT WHAT AMERICA WANTS OR NEEDS.
28,2021-05-18 23:45:54+00:00,"@wcdhtwn @bryanmac305 @Cati_1204 @marypatcormier @MaryMeisenzahl @AOC @BernieSanders @McDonalds And not all McDonald’s are franchises. Is the inside of Trump’s rectum orange too, because I have a feeling you’re a content specialist on that."
29,2021-05-18 23:45:50+00:00,"@EliseStefanik you covered up Trumps crimes while you sat on the House Intel. You betrayed your Oath when you “performed” during his Impeachment. You committed Sedition when you promoted his Big Lie that resulted in the Insurrection. You’re pathetic. 
#Backstabber
#SeditiousGOP https://t.co/XWMtR5950r"
30,2021-05-18 23:44:59+00:00,"QAnon Shaman attorney: The World hasn’t seen propaganda like Trump’s since Adolf Hitler, you “reckon”"
31,2021-05-18 23:44:08+00:00,"""White House Says Donald Trump Did Nothing Constructive for Middle East Peace — Even as Violence Surges Under Joe Biden"" https://t.co/0sM8cnY2Yl #news #feedly"
32,2021-05-18 23:43:30+00:00,@AdamKinzinger @GOPLeader Supreme Leader Trump!
